X,Y,R1,R2,R3,R4,R5,R6,R7,R8,class
0.5247416477234369,0.4275498346732255,0.9476301882078477,0.5076079007091887,0.3742034898676243,0.691689020667646,0.3686038058170664,0.08812906237795459,0.3788482518834322,0.12026700481997155,2
0.4918267077707106,0.858546436230951,0.7923400932586054,0.38605785316201147,0.5036472909495379,0.48852792683602564,0.5257346771218456,0.7668732127081448,0.12655845912631547,0.7958523910284503,0
0.4768897070287538,0.5404643493708731,0.07603463453965631,0.8660491027062173,0.39879009482238525,0.2381427525482095,0.8412768478800607,0.6993579505064872,0.03731995376892616,0.1500352521133177,2
0.5235751500987617,0.8751825260254502,0.22374947753496144,0.8532700113540673,0.9022070135316381,0.5483682534588856,0.8834807875039723,0.5141885963381164,0.21638662309383905,0.5211146559118159,0
0.1152832171134374,0.48249570012356624,0.23710385357661024,0.4991164025372582,0.7061101859354985,0.43653450657722825,0.3666202893891326,0.4476669390041499,0.6352882848117823,0.42714985596738797,1
0.5221663594523838,0.5125859747198133,0.5667591970617165,0.12689928973913844,0.25472447818027977,0.023388007448096992,0.8815009886421259,0.9147137738473967,0.3540339715635896,0.012362398032961908,2
0.8846809897197029,0.8526834293026051,0.1374158669754867,0.3257064555857132,0.08558963936332009,0.20500983216250057,0.33406064605441943,0.07716730248332737,0.31458465643109956,0.6001485503498941,1
0.5228240070591225,0.1937340649993572,0.1297895171304242,0.4671274676616791,0.445798123672825,0.1667313253802195,0.06665759580711716,0.5584891028861586,0.8063059613565227,0.39778660263800325,1
0.13315615265407416,0.8389711348057188,0.7579591074946713,0.11529574486820693,0.3155147189247063,0.22777099127323963,0.2888624041693584,0.3326469836693955,0.9425621182729597,0.8408057439921154,2
0.5159320758594736,0.8559358674957155,0.05308127094462756,0.721943056187638,0.31177442659266064,0.6885611867024582,0.63701129520418,0.33275029986701754,0.31413057539455025,0.5126934649301748,0
0.8202644968494577,0.8234074290916894,0.41172100359096886,0.028185935556621522,0.5777639015165595,0.4616700562357954,0.1506095079700822,0.6121951160512127,0.7236265536219482,0.5953018087995289,1
0.11571586388838659,0.8970765664517538,0.7279895592894176,0.3215613254643801,0.5169672752792451,0.5476647010409378,0.693200925189436,0.5926261719336213,0.13272874079094776,0.6712304318547361,2
0.8554461919354444,0.4777973211921923,0.6751491704142499,0.32163624297481597,0.42954626469687274,0.2725605995480205,0.5472107873019609,0.1446426598042958,0.985448547082608,0.7952514110156375,0
0.8544683438436459,0.5417156066890498,0.6005353846479358,0.36324872503250893,0.5753732297578936,0.13533466356039703,0.29916320059070356,0.6425925159453633,0.4791776574590353,0.4679132065707984,0
0.40525161372938867,0.5394394922548756,0.6179564328452037,0.3822536686129562,0.15158232878645783,0.918202509532007,0.7816502407379687,0.6560960518679775,0.2402912915149823,0.7425513013050465,2
0.9019803887596595,0.8773936504129299,0.033200925917062696,0.6232038004863292,0.44034996036002105,0.7957310533516696,0.6949120125505288,0.2557062705935197,0.7904909639643911,0.7560626833806152,1
