X,Y,R1,R2,class
0.5247416477234369,0.4275498346732255,0.2581189928815495,0.9034305984777896,2
0.4918267077707106,0.858546436230951,0.5291479185202405,0.4916474660487664,0
0.4768897070287538,0.5404643493708731,0.8573891253709827,0.633146862950121,2
0.5235751500987617,0.8751825260254502,0.38315952054648683,0.034277503879244664,0
0.1152832171134374,0.48249570012356624,0.2707526990139125,0.6985367454287552,1
0.5221663594523838,0.5125859747198133,0.09542457351408151,0.5810168106599675,2
0.8846809897197029,0.8526834293026051,0.7932138440031289,0.3076977601877876,1
0.5228240070591225,0.1937340649993572,0.13572590960579423,0.502885881092701,1
0.13315615265407416,0.8389711348057188,0.5137735023101969,0.3045381286101455,2
0.5159320758594736,0.8559358674957155,0.23446045751782651,0.8958453863453836,0
0.8202644968494577,0.8234074290916894,0.4367988354952109,0.6234017926648954,1
0.11571586388838659,0.8970765664517538,0.6961382646399631,0.026117696715153182,2
0.8554461919354444,0.4777973211921923,0.9385937327251842,0.11947988774681173,0
0.8544683438436459,0.5417156066890498,0.5571612095100849,0.603641136548688,0
0.40525161372938867,0.5394394922548756,0.3460031021053388,0.46063803154999494,2
0.9019803887596595,0.8773936504129299,0.9050397030396719,0.9829793398896142,1
0.8474051516620958,0.04991409752884261,0.12233293867799322,0.31513340026411496,2
0.09303020802605105,0.9260389239888197,0.5854587313226687,0.6161965103320056,2
0.5854436324678224,0.06967354609768663,0.6644830940270197,0.08825257778080409,1
0.03278200597452299,0.5693101169905675,0.04642280321632408,0.4062811867155086,1
0.5390444783177154,0.13645004037241723,0.9334648393493883,0.5552193797027842,1
0.5804509429885434,0.4816263232047776,0.21597655318414466,0.10667224192838032,2
0.8403759549543003,0.49805004532933106,0.26898190081274886,0.9794030145361177,0
0.5178042924011016,0.8164052251397916,0.9489395773116445,0.8060173530663193,0
0.9330426565353684,0.5111160471126819,0.4423275099647098,0.08007310547896496,0
0.04167804497125756,0.24704820140693495,0.14854394971742801,0.25556899030163127,0
0.05712900525384654,0.4708821122991499,0.3536481690523813,0.7414682549976488,1
0.9091675671214329,0.16932851736166696,0.3941400982505445,0.08696768651980824,2
0.06956982547086271,0.5168061773395017,0.5257890527859785,0.019172689883402816,1
0.839156479392539,0.5298232975193743,0.7079637758013129,0.5807024950809914,0
0.5042044869326434,0.895748329599086,0.24737585406543106,0.24398592851748457,0
0.8614244926171649,0.47440721094833804,0.06726824439626733,0.9720525069097646,0
0.10826671577652493,0.5005937457193869,0.7981590601443793,0.9373615775325057,1
0.1447015061204876,0.46108202080212013,0.7364767669883033,0.6662260449113376,1
0.8042391727411405,0.4881017390082317,0.3046963472417813,0.5043243832031112,0
0.8562153278578156,0.0980088057085548,0.7461469508951573,0.5462738315382853,2
0.9293017665180683,0.8380107291096868,0.24533967136259505,0.8679967490729481,1
0.5003737687451277,0.07102948637805812,0.6787911587469763,0.29542838662960036,1
0.5594816674389078,0.1888007742494964,0.3092620765109777,0.19142823171454992,1
0.8348694826023314,0.13427066337528007,0.27131900944248,0.3480020857294931,2
0.4815864687580377,0.81962872350132,0.15517399472653115,0.1408743714740428,0
0.4268828843464918,0.08024549442409697,0.43929914409479287,0.8704973205453463,1
0.19385757002752627,0.131292546446626,0.856185865381623,0.5099182533547376,0
0.9166837731047148,0.5067789263701774,0.5627827518749979,0.6697955707094928,0
0.8959332006672039,0.18269838187251855,0.06138629711620791,0.2725999054845373,2
0.5526865748827192,0.8671109299897279,0.3729961283867689,0.529307419512914,0
0.5460134624408467,0.5217216794914585,0.3218836975227535,0.711633212930868,2
0.8784456557169338,0.7958517636203131,0.8915867396859989,0.260012814320255,1
0.8436298092972369,0.11224498461883775,0.8883436727129801,0.5617335189726469,2
0.07433848154244888,0.9129166267968029,0.3122067280248203,0.23564624172454096,2
0.14991859910747352,0.559890493926788,0.10364882970830991,0.2968687391002428,1
